genus,gonality,torsion,ranks,scrollar invariants,ak,bk,n,ell
13,3,"[0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8, 10, 11]","{0: 0, 1: 6, 2: 15}",2,2,8,3
13,3,"[0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11]","{0: 0, 1: 6, 2: 15}",2,3,8,4
13,3,"[0, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11]","{0: 0, 1: 6, 2: 15}",2,4,8,4
13,3,"[0, 3, 3, 0, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 11]","{0: 0, 1: 6, 2: 15}",2,5,8,5
13,3,"[0, 3, 3, 3, 0, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 11]","{0: 0, 1: 6, 2: 15}",2,6,8,5
13,3,"[0, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 8]","{0: 0, 1: 7, 2: 15}",2,7,7,6
13,3,"[0, 3, 3, 3, 3, 3, 0, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 8]","{0: 0, 1: 7, 2: 15}",2,8,7,6
13,3,"[0, 3, 3, 3, 3, 3, 3, 0, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 8]","{0: 0, 1: 7, 2: 15}",2,9,7,7
13,3,"[0, 3, 3, 3, 3, 3, 3, 3, 0, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 8]","{0: 0, 1: 7, 2: 15}",2,10,7,7
13,3,"[0, 3, 3, 3, 3, 3, 3, 3, 3, 0, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 8]","{0: 0, 1: 7, 2: 15}",2,11,7,7
13,3,"[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 8]","{0: 0, 1: 7, 2: 15}",2,12,7,7
13,3,"[2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8, 10, 11]","{0: 0, 1: 6, 2: 15}",3,3,8,3
13,3,"[2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11]","{0: 0, 1: 6, 2: 15}",3,4,8,4
13,3,"[2, 0, 3, 0, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 11]","{0: 0, 1: 6, 2: 15}",3,5,8,5
13,3,"[2, 0, 3, 3, 0, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 11]","{0: 0, 1: 6, 2: 15}",3,6,8,5
13,3,"[2, 0, 3, 3, 3, 0, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 8]","{0: 0, 1: 7, 2: 15}",3,7,7,6
13,3,"[2, 0, 3, 3, 3, 3, 0, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 8]","{0: 0, 1: 7, 2: 15}",3,8,7,6
13,3,"[2, 0, 3, 3, 3, 3, 3, 0, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 8]","{0: 0, 1: 7, 2: 15}",3,9,7,7
13,3,"[2, 0, 3, 3, 3, 3, 3, 3, 0, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 8]","{0: 0, 1: 7, 2: 15}",3,10,7,7
13,3,"[2, 0, 3, 3, 3, 3, 3, 3, 3, 0, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 8]","{0: 0, 1: 7, 2: 15}",3,11,7,7
13,3,"[2, 0, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 8]","{0: 0, 1: 7, 2: 15}",3,12,7,7
13,3,"[2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8, 10, 11]","{0: 0, 1: 6, 2: 15}",4,4,8,3
13,3,"[2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11]","{0: 0, 1: 6, 2: 15}",4,5,8,4
13,3,"[2, 2, 0, 3, 0, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 11]","{0: 0, 1: 6, 2: 15}",4,6,8,5
13,3,"[2, 2, 0, 3, 3, 0, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 8]","{0: 0, 1: 7, 2: 15}",4,7,7,6
13,3,"[2, 2, 0, 3, 3, 3, 0, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 8]","{0: 0, 1: 7, 2: 15}",4,8,7,6
13,3,"[2, 2, 0, 3, 3, 3, 3, 0, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 8]","{0: 0, 1: 7, 2: 15}",4,9,7,7
13,3,"[2, 2, 0, 3, 3, 3, 3, 3, 0, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 8]","{0: 0, 1: 7, 2: 15}",4,10,7,7
13,3,"[2, 2, 0, 3, 3, 3, 3, 3, 3, 0, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 8]","{0: 0, 1: 7, 2: 15}",4,11,7,7
13,3,"[2, 2, 0, 3, 3, 3, 3, 3, 3, 3, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 8]","{0: 0, 1: 7, 2: 15}",4,12,7,7
13,3,"[2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8, 10, 11]","{0: 0, 1: 6, 2: 15}",5,5,8,3
13,3,"[2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11]","{0: 0, 1: 6, 2: 15}",5,6,8,4
13,3,"[2, 2, 2, 0, 3, 0, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 11]","{0: 0, 1: 6, 2: 15}",5,7,8,5
13,3,"[2, 2, 2, 0, 3, 3, 0, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 9, 11]","{0: 0, 1: 6, 2: 15}",5,8,8,6
13,3,"[2, 2, 2, 0, 3, 3, 3, 0, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 9, 11]","{0: 0, 1: 6, 2: 15}",5,9,8,6
13,3,"[2, 2, 2, 0, 3, 3, 3, 3, 0, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 8]","{0: 0, 1: 7, 2: 15}",5,10,7,7
13,3,"[2, 2, 2, 0, 3, 3, 3, 3, 3, 0, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 8]","{0: 0, 1: 7, 2: 15}",5,11,7,7
13,3,"[2, 2, 2, 0, 3, 3, 3, 3, 3, 3, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 8]","{0: 0, 1: 7, 2: 15}",5,12,7,7
13,3,"[2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8, 10, 11]","{0: 0, 1: 6, 2: 15}",6,6,8,3
13,3,"[2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11]","{0: 0, 1: 6, 2: 15}",6,7,8,4
13,3,"[2, 2, 2, 2, 0, 3, 0, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 11]","{0: 0, 1: 6, 2: 15}",6,8,8,5
13,3,"[2, 2, 2, 2, 0, 3, 3, 0, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 9, 11]","{0: 0, 1: 6, 2: 15}",6,9,8,6
13,3,"[2, 2, 2, 2, 0, 3, 3, 3, 0, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 8]","{0: 0, 1: 7, 2: 15}",6,10,7,6
13,3,"[2, 2, 2, 2, 0, 3, 3, 3, 3, 0, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 8]","{0: 0, 1: 7, 2: 15}",6,11,7,6
13,3,"[2, 2, 2, 2, 0, 3, 3, 3, 3, 3, 0, 0]","[0, 1, 2, 3, 4, 5, 7, 8]","{0: 0, 1: 7, 2: 15}",6,12,7,6
13,3,"[2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8, 10, 11]","{0: 0, 1: 6, 2: 15}",7,7,8,3
13,3,"[2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11]","{0: 0, 1: 6, 2: 15}",7,8,8,4
13,3,"[2, 2, 2, 2, 2, 0, 3, 0, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 11]","{0: 0, 1: 6, 2: 15}",7,9,8,5
13,3,"[2, 2, 2, 2, 2, 0, 3, 3, 0, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 8]","{0: 0, 1: 7, 2: 15}",7,10,7,6
13,3,"[2, 2, 2, 2, 2, 0, 3, 3, 3, 0, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 8]","{0: 0, 1: 7, 2: 15}",7,11,7,6
13,3,"[2, 2, 2, 2, 2, 0, 3, 3, 3, 3, 0, 0]","[0, 1, 2, 3, 4, 5, 7, 8]","{0: 0, 1: 7, 2: 15}",7,12,7,6
13,3,"[2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8, 10, 11]","{0: 0, 1: 6, 2: 15}",8,8,8,3
13,3,"[2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11]","{0: 0, 1: 6, 2: 15}",8,9,8,4
13,3,"[2, 2, 2, 2, 2, 2, 0, 3, 0, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 11]","{0: 0, 1: 6, 2: 15}",8,10,8,5
13,3,"[2, 2, 2, 2, 2, 2, 0, 3, 3, 0, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 11]","{0: 0, 1: 6, 2: 15}",8,11,8,5
13,3,"[2, 2, 2, 2, 2, 2, 0, 3, 3, 3, 0, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 11]","{0: 0, 1: 6, 2: 15}",8,12,8,5
13,3,"[2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8, 10, 11]","{0: 0, 1: 6, 2: 15}",9,9,8,3
13,3,"[2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11]","{0: 0, 1: 6, 2: 15}",9,10,8,4
13,3,"[2, 2, 2, 2, 2, 2, 2, 0, 3, 0, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 11]","{0: 0, 1: 6, 2: 15}",9,11,8,5
13,3,"[2, 2, 2, 2, 2, 2, 2, 0, 3, 3, 0, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 11]","{0: 0, 1: 6, 2: 15}",9,12,8,5
13,3,"[2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8, 10, 11]","{0: 0, 1: 6, 2: 15}",10,10,8,3
13,3,"[2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11]","{0: 0, 1: 6, 2: 15}",10,11,8,4
13,3,"[2, 2, 2, 2, 2, 2, 2, 2, 0, 3, 0, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11]","{0: 0, 1: 6, 2: 15}",10,12,8,4
13,3,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0]","[0, 1, 2, 4, 5, 7, 8, 10, 11]","{0: 0, 1: 6, 2: 15}",11,11,8,3
13,3,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11]","{0: 0, 1: 6, 2: 15}",11,12,8,4
13,3,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0]","[0, 1, 2, 4, 5, 7, 8, 10, 11]","{0: 0, 1: 6, 2: 15}",12,12,8,3
