genus,gonality,torsion,ranks,scrollar invariants,ak,bk,n,ell
6,3,"[0, 2, 2, 2, 0]","[0, 1, 2, 4, 6]","{0: 0, 1: 3, 2: 8}",2,2,4,3
6,3,"[0, 0, 2, 2, 0]","[0, 1, 2, 3]","{0: 0, 1: 4, 2: 8}",2,3,3,3
6,3,"[0, 3, 0, 2, 0]","[0, 1, 2, 3]","{0: 0, 1: 4, 2: 8}",2,4,3,3
6,3,"[0, 3, 3, 0, 0]","[0, 1, 2, 3]","{0: 0, 1: 4, 2: 8}",2,5,3,3
6,3,"[2, 0, 2, 2, 0]","[0, 1, 2, 4, 6]","{0: 0, 1: 3, 2: 8}",3,3,4,3
6,3,"[2, 0, 0, 2, 0]","[0, 1, 2, 3]","{0: 0, 1: 4, 2: 8}",3,4,3,3
6,3,"[2, 0, 3, 0, 0]","[0, 1, 2, 3]","{0: 0, 1: 4, 2: 8}",3,5,3,3
6,3,"[2, 2, 0, 2, 0]","[0, 1, 2, 4, 6]","{0: 0, 1: 3, 2: 8}",4,4,4,3
6,3,"[2, 2, 0, 0, 0]","[0, 1, 2, 3]","{0: 0, 1: 4, 2: 8}",4,5,3,3
6,3,"[2, 2, 2, 0, 0]","[0, 1, 2, 4, 6]","{0: 0, 1: 3, 2: 8}",5,5,4,3
